No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
3334	J BIOMOL SCREEN	JOURNAL OF BIOMOLECULAR SCREENING	1087-0571	CHEMISTRY, ANALYTICAL; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3335	J BIOMOL STRUCT DYN	JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS	0739-1102	BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOPHYSICS
3336	J BIONIC ENG	JOURNAL OF BIONIC ENGINEERING	1672-6529	ENGINEERING, MULTIDISCIPLINARY; ROBOTICS
3337	J BIOPHOTONICS	JOURNAL OF BIOPHOTONICS	1864-063X	OPTICS; BIOCHEMICAL RESEARCH METHODS; BIOPHYSICS
3338	J BIOSCI BIOENG	JOURNAL OF BIOSCIENCE AND BIOENGINEERING	1389-1723	FOOD SCIENCE & TECHNOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3339	J BIOSCIENCES	JOURNAL OF BIOSCIENCES	0250-5991	BIOLOGY
3340	J BIOTECHNOL	JOURNAL OF BIOTECHNOLOGY	0168-1656	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3341	J BONE JOINT SURG AM	JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME	0021-9355	SURGERY ; ORTHOPEDICS
3342	J BONE MINER METAB	JOURNAL OF BONE AND MINERAL METABOLISM	0914-8779	MEDICINE, RESEARCH & EXPERIMENTAL; ENDOCRINOLOGY & METABOLISM
3343	J BONE MINER RES	JOURNAL OF BONE AND MINERAL RESEARCH	0884-0431	ENDOCRINOLOGY & METABOLISM
3344	J BRAZIL CHEM SOC	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	0103-5053	CHEMISTRY, MULTIDISCIPLINARY
3345	J BREATH RES	JOURNAL OF BREATH RESEARCH	1752-7155	RESPIRATORY SYSTEM; BIOCHEMICAL RESEARCH METHODS
3346	J BRIDGE ENG	JOURNAL OF BRIDGE ENGINEERING	1084-0702	ENGINEERING, CIVIL
3347	J BRYOL	JOURNAL OF BRYOLOGY	0373-6687	PLANT SCIENCES
3348	J BUILD PERFORM SIMU	JOURNAL OF BUILDING PERFORMANCE SIMULATION	1940-1493	CONSTRUCTION & BUILDING TECHNOLOGY
3349	J BUILD PHYS	JOURNAL OF BUILDING PHYSICS	1744-2591	CONSTRUCTION & BUILDING TECHNOLOGY
3350	J BURN CARE RES	JOURNAL OF BURN CARE & RESEARCH	1559-047X	SURGERY
3351	J BUS ECON STAT	JOURNAL OF BUSINESS & ECONOMIC STATISTICS	0735-0015	STATISTICS & PROBABILITY
3352	J CACHEXIA SARCOPENI	JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLE	2190-5991	MEDICINE, GENERAL & INTERNAL
3353	J CAN PETROL TECHNOL	JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY	0021-9487	ENGINEERING, CHEMICAL; ENGINEERING, PETROLEUM
3354	J CANCER	JOURNAL OF CANCER	1837-9664	ONCOLOGY
3355	J CANCER EDUC	JOURNAL OF CANCER EDUCATION	0885-8195	EDUCATION, SCIENTIFIC DISCIPLINES
3356	J CANCER RES CLIN	JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY	0171-5216	ONCOLOGY
3357	J CANCER SURVIV	JOURNAL OF CANCER SURVIVORSHIP	1932-2259	ONCOLOGY
3358	J CARD FAIL	JOURNAL OF CARDIAC FAILURE	1071-9164	CARDIAC & CARDIOVASCULAR SYSTEMS
3359	J CARDIOL	JOURNAL OF CARDIOLOGY	0914-5087	CARDIAC & CARDIOVASCULAR SYSTEMS
3360	J CARDIOPULM REHABIL	JOURNAL OF CARDIOPULMONARY REHABILITATION AND PREVENTION	1932-7501	CARDIAC & CARDIOVASCULAR SYSTEMS
3361	J CARDIOTHOR VASC AN	JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA	1053-0770	RESPIRATORY SYSTEM; ANESTHESIOLOGY; PERIPHERAL VASCULAR DISEASE; CARDIAC & CARDIOVASCULAR SYSTEMS
3362	J CARDIOVASC COMPUT	JOURNAL OF CARDIOVASCULAR COMPUTED TOMOGRAPHY	1934-5925	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; CARDIAC & CARDIOVASCULAR SYSTEMS
3363	J CARDIOVASC ELECTR	JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY	1045-3873	CARDIAC & CARDIOVASCULAR SYSTEMS
3364	J CARDIOVASC MAGN R	JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	1097-6647	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; CARDIAC & CARDIOVASCULAR SYSTEMS
3365	J CARDIOVASC NURS	JOURNAL OF CARDIOVASCULAR NURSING	0889-4655	CARDIAC & CARDIOVASCULAR SYSTEMS; NURSING
3366	J CARDIOVASC PHARM	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY	0160-2446	PHARMACOLOGY & PHARMACY; CARDIAC & CARDIOVASCULAR SYSTEMS
3367	J CARDIOVASC PHARM T	JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS	1074-2484	CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
3368	J CARDIOVASC SURG	JOURNAL OF CARDIOVASCULAR SURGERY	0021-9509	SURGERY
3369	J CARDIOVASC TRANSL	JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH	1937-5387	CARDIAC & CARDIOVASCULAR SYSTEMS; MEDICINE, RESEARCH & EXPERIMENTAL
3370	J CATAL	JOURNAL OF CATALYSIS	0021-9517	ENGINEERING, CHEMICAL; CHEMISTRY, PHYSICAL
3371	J CATARACT REFR SURG	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	0886-3350	OPHTHALMOLOGY; SURGERY
3372	J CELL BIOCHEM	JOURNAL OF CELLULAR BIOCHEMISTRY	0730-2312	CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
3373	J CELL BIOL	JOURNAL OF CELL BIOLOGY	0021-9525	CELL BIOLOGY
3374	J CELL MOL MED	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	1582-4934	CELL BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL
3375	J CELL PHYSIOL	JOURNAL OF CELLULAR PHYSIOLOGY	0021-9541	CELL BIOLOGY; PHYSIOLOGY
3376	J CELL PLAST	JOURNAL OF CELLULAR PLASTICS	0021-955X	CHEMISTRY, APPLIED; POLYMER SCIENCE
3377	J CELL SCI	JOURNAL OF CELL SCIENCE	0021-9533	CELL BIOLOGY
3378	J CENT SOUTH UNIV	JOURNAL OF CENTRAL SOUTH UNIVERSITY	2095-2899	METALLURGY & METALLURGICAL ENGINEERING
3379	J CERAM PROCESS RES	JOURNAL OF CERAMIC PROCESSING RESEARCH	1229-9162	MATERIALS SCIENCE, CERAMICS
3380	J CERAM SOC JPN	JOURNAL OF THE CERAMIC SOCIETY OF JAPAN	1882-0743	MATERIALS SCIENCE, CERAMICS
3381	J CEREAL SCI	JOURNAL OF CEREAL SCIENCE	0733-5210	FOOD SCIENCE & TECHNOLOGY
3382	J CEREBR BLOOD F MET	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	0271-678X	NEUROSCIENCES; HEMATOLOGY; ENDOCRINOLOGY & METABOLISM
3383	J CHEM CRYSTALLOGR	JOURNAL OF CHEMICAL CRYSTALLOGRAPHY	1074-1542	CRYSTALLOGRAPHY; SPECTROSCOPY
3384	J CHEM ECOL	JOURNAL OF CHEMICAL ECOLOGY	0098-0331	BIOCHEMISTRY & MOLECULAR BIOLOGY; ECOLOGY
3385	J CHEM EDUC	JOURNAL OF CHEMICAL EDUCATION	0021-9584	EDUCATION, SCIENTIFIC DISCIPLINES; CHEMISTRY, MULTIDISCIPLINARY
3386	J CHEM ENG DATA	JOURNAL OF CHEMICAL AND ENGINEERING DATA	0021-9568	ENGINEERING, CHEMICAL; CHEMISTRY, MULTIDISCIPLINARY; THERMODYNAMICS
3387	J CHEM ENG JPN	JOURNAL OF CHEMICAL ENGINEERING OF JAPAN	0021-9592	ENGINEERING, CHEMICAL
3388	J CHEM INF MODEL	JOURNAL OF CHEMICAL INFORMATION AND MODELING	1549-9596	COMPUTER SCIENCE, INFORMATION SYSTEMS; CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, MEDICINAL; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
3389	J CHEM NEUROANAT	JOURNAL OF CHEMICAL NEUROANATOMY	0891-0618	NEUROSCIENCES; BIOCHEMISTRY & MOLECULAR BIOLOGY
3390	J CHEM PHYS	JOURNAL OF CHEMICAL PHYSICS	0021-9606	CHEMISTRY, PHYSICAL; PHYSICS, ATOMIC, MOLECULAR & CHEMICAL
3391	J CHEM RES	JOURNAL OF CHEMICAL RESEARCH	1747-5198	CHEMISTRY, MULTIDISCIPLINARY
3392	J CHEM SCI	JOURNAL OF CHEMICAL SCIENCES	0974-3626	CHEMISTRY, MULTIDISCIPLINARY
3393	J CHEM TECHNOL BIOT	JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY	0268-2575	ENGINEERING, CHEMICAL; ENGINEERING, ENVIRONMENTAL; CHEMISTRY, MULTIDISCIPLINARY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
3394	J CHEM THEORY COMPUT	JOURNAL OF CHEMICAL THEORY AND COMPUTATION	1549-9618	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL; CHEMISTRY, PHYSICAL
3395	J CHEM THERMODYN	JOURNAL OF CHEMICAL THERMODYNAMICS	0021-9614	CHEMISTRY, PHYSICAL; THERMODYNAMICS
3396	J CHEM-NY	JOURNAL OF CHEMISTRY	2090-9063	CHEMISTRY, MULTIDISCIPLINARY
3397	J CHEMOMETR	JOURNAL OF CHEMOMETRICS	0886-9383	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; INSTRUMENTS & INSTRUMENTATION
3398	J CHIL CHEM SOC	JOURNAL OF THE CHILEAN CHEMICAL SOCIETY	0717-9707	CHEMISTRY, MULTIDISCIPLINARY
3399	J CHILD ADOL PSYCHOP	JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY	1044-5463	PSYCHIATRY; PHARMACOLOGY & PHARMACY; PEDIATRICS
3400	J CHILD HEALTH CARE	JOURNAL OF CHILD HEALTH CARE	1367-4935	PEDIATRICS; NURSING
3401	J CHILD NEUROL	JOURNAL OF CHILD NEUROLOGY	0883-0738	CLINICAL NEUROLOGY ; PEDIATRICS
3402	J CHILD PSYCHOL PSYC	JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	0021-9630	PSYCHOLOGY; PSYCHIATRY
3403	J CHIN CHEM SOC-TAIP	JOURNAL OF THE CHINESE CHEMICAL SOCIETY	0009-4536	CHEMISTRY, MULTIDISCIPLINARY
3404	J CHIN MED ASSOC	JOURNAL OF THE CHINESE MEDICAL ASSOCIATION	1726-4901	MEDICINE, GENERAL & INTERNAL
3405	J CHROMATOGR A	JOURNAL OF CHROMATOGRAPHY A	0021-9673	BIOCHEMICAL RESEARCH METHODS; CHEMISTRY, ANALYTICAL
3406	J CHROMATOGR B	JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES	1570-0232	CHEMISTRY, ANALYTICAL; BIOCHEMICAL RESEARCH METHODS
3407	J CHROMATOGR SCI	JOURNAL OF CHROMATOGRAPHIC SCIENCE	0021-9665	CHEMISTRY, ANALYTICAL; BIOCHEMICAL RESEARCH METHODS
3408	J CIV ENG MANAG	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT	1392-3730	ENGINEERING, CIVIL
3409	J CLEAN PROD	JOURNAL OF CLEANER PRODUCTION	0959-6526	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
3410	J CLIMATE	JOURNAL OF CLIMATE	0894-8755	METEOROLOGY & ATMOSPHERIC SCIENCES
3411	J CLIN APHERESIS	JOURNAL OF CLINICAL APHERESIS	0733-2459	HEMATOLOGY
3412	J CLIN ENDOCR METAB	JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	0021-972X	ENDOCRINOLOGY & METABOLISM
3413	J CLIN EPIDEMIOL	JOURNAL OF CLINICAL EPIDEMIOLOGY	0895-4356	HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCC
3414	J CLIN EXP NEUROPSYC	JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	1380-3395	PSYCHOLOGY; CLINICAL NEUROLOGY
3415	J CLIN GASTROENTEROL	JOURNAL OF CLINICAL GASTROENTEROLOGY	0192-0790	GASTROENTEROLOGY & HEPATOLOGY
3416	J CLIN HYPERTENS	JOURNAL OF CLINICAL HYPERTENSION	1524-6175	PERIPHERAL VASCULAR DISEASE
3417	J CLIN IMMUNOL	JOURNAL OF CLINICAL IMMUNOLOGY	0271-9142	IMMUNOLOGY
3418	J CLIN INVEST	JOURNAL OF CLINICAL INVESTIGATION	0021-9738	MEDICINE, RESEARCH & EXPERIMENTAL
3419	J CLIN LAB ANAL	JOURNAL OF CLINICAL LABORATORY ANALYSIS	0887-8013	MEDICAL LABORATORY TECHNOLOGY
3420	J CLIN LIPIDOL	JOURNAL OF CLINICAL LIPIDOLOGY	1933-2874	PHARMACOLOGY & PHARMACY
3421	J CLIN MICROBIOL	JOURNAL OF CLINICAL MICROBIOLOGY	0095-1137	MICROBIOLOGY
3422	J CLIN NEUROL	JOURNAL OF CLINICAL NEUROLOGY	1738-6586	CLINICAL NEUROLOGY
3423	J CLIN NURS	JOURNAL OF CLINICAL NURSING	0962-1067	NURSING
3424	J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY	0732-183X	ONCOLOGY
3425	J CLIN PATHOL	JOURNAL OF CLINICAL PATHOLOGY	0021-9746	PATHOLOGY
3426	J CLIN PERIODONTOL	JOURNAL OF CLINICAL PERIODONTOLOGY	0303-6979	DENTISTRY, ORAL SURGERY & MEDICINE
3427	J CLIN PHARM THER	JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS	0269-4727	PHARMACOLOGY & PHARMACY
3428	J CLIN PHARMACOL	JOURNAL OF CLINICAL PHARMACOLOGY	0091-2700	PHARMACOLOGY & PHARMACY
3429	J CLIN PSYCHIAT	JOURNAL OF CLINICAL PSYCHIATRY	0160-6689	PSYCHIATRY
3430	J CLIN PSYCHOPHARM	JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY	0271-0749	PHARMACOLOGY & PHARMACY; PSYCHIATRY
3431	J CLIN SLEEP MED	JOURNAL OF CLINICAL SLEEP MEDICINE	1550-9389	CLINICAL NEUROLOGY
3432	J CLIN ULTRASOUND	JOURNAL OF CLINICAL ULTRASOUND	0091-2751	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; ACOUSTICS
3433	J CLIN VIROL	JOURNAL OF CLINICAL VIROLOGY	1386-6532	VIROLOGY
3434	J CLUST SCI	JOURNAL OF CLUSTER SCIENCE	1040-7278	CHEMISTRY, INORGANIC & NUCLEAR
3435	J CO2 UTIL	JOURNAL OF CO2 UTILIZATION	2212-9820	CHEMISTRY, MULTIDISCIPLINARY; ENGINEERING, CHEMICAL
3436	J COASTAL RES	JOURNAL OF COASTAL RESEARCH	0749-0208	GEOSCIENCES, MULTIDISCIPLINARY; GEOGRAPHY, PHYSICAL; ENVIRONMENTAL SCIENCES
3437	J COAT TECHNOL RES	JOURNAL OF COATINGS TECHNOLOGY AND RESEARCH	1945-9645	MATERIALS SCIENCE, COATINGS & FILMS; CHEMISTRY, APPLIED
3438	J COGNITIVE NEUROSCI	JOURNAL OF COGNITIVE NEUROSCIENCE	0898-929X	NEUROSCIENCES
3439	J COLD REG ENG	JOURNAL OF COLD REGIONS ENGINEERING	0887-381X	GEOSCIENCES, MULTIDISCIPLINARY; ENGINEERING, CIVIL; ENGINEERING, ENVIRONMENTAL
3440	J COLLOID INTERF SCI	JOURNAL OF COLLOID AND INTERFACE SCIENCE	0021-9797	CHEMISTRY, PHYSICAL
3441	J COMB DES	JOURNAL OF COMBINATORIAL DESIGNS	1063-8539	MATHEMATICS
3442	J COMB OPTIM	JOURNAL OF COMBINATORIAL OPTIMIZATION	1382-6905	MATHEMATICS, APPLIED
3443	J COMB THEORY A	JOURNAL OF COMBINATORIAL THEORY SERIES A	0097-3165	MATHEMATICS
3444	J COMB THEORY B	JOURNAL OF COMBINATORIAL THEORY SERIES B	0095-8956	MATHEMATICS
3445	J COMMUN DISORD	JOURNAL OF COMMUNICATION DISORDERS	0021-9924	REHABILITATION
3446	J COMMUN NETW-S KOR	JOURNAL OF COMMUNICATIONS AND NETWORKS	1229-2370	TELECOMMUNICATIONS
3447	J COMMUN TECHNOL EL+	JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS	1064-2269	TELECOMMUNICATIONS; ENGINEERING, ELECTRICAL & ELECTRONIC
3448	J COMMUT ALGEBR	JOURNAL OF COMMUTATIVE ALGEBRA	1939-0807	MATHEMATICS
3449	J COMP NEUROL	JOURNAL OF COMPARATIVE NEUROLOGY	0021-9967	ZOOLOGY; NEUROSCIENCES
3450	J COMP PATHOL	JOURNAL OF COMPARATIVE PATHOLOGY	0021-9975	PATHOLOGY; VETERINARY SCIENCES
3451	J COMP PHYSIOL A	JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY	0340-7594	NEUROSCIENCES; BEHAVIORAL SCIENCES; PHYSIOLOGY; ZOOLOGY
3452	J COMP PHYSIOL B	JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY	0174-1578	ZOOLOGY; PHYSIOLOGY
3453	J COMP PSYCHOL	JOURNAL OF COMPARATIVE PSYCHOLOGY	0735-7036	BEHAVIORAL SCIENCES; ZOOLOGY; PSYCHOLOGY
3454	J COMPLEXITY	JOURNAL OF COMPLEXITY	0885-064X	COMPUTER SCIENCE, THEORY & METHODS; MATHEMATICS, APPLIED
3455	J COMPOS CONSTR	JOURNAL OF COMPOSITES FOR CONSTRUCTION	1090-0268	MECHANICS; ENGINEERING, CIVIL; MATERIALS SCIENCE, COMPOSITES
3456	J COMPOS MATER	JOURNAL OF COMPOSITE MATERIALS	0021-9983	MATERIALS SCIENCE, COMPOSITES
3457	J COMPUT ACOUST	JOURNAL OF COMPUTATIONAL ACOUSTICS	0218-396X	ACOUSTICS; MATHEMATICS, INTERDISCIPLINARY APPLICATIONS
3458	J COMPUT AID MOL DES	JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN	0920-654X	BIOPHYSICS; BIOCHEMISTRY & MOLECULAR BIOLOGY; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
3459	J COMPUT APPL MATH	JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS	0377-0427	MATHEMATICS, APPLIED
3460	J COMPUT ASSIST TOMO	JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY	0363-8715	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
3461	J COMPUT BIOL	JOURNAL OF COMPUTATIONAL BIOLOGY	1066-5277	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; STATISTICS & PROBABILITY; MATHEMATICAL & COMPUTATIONAL BIOLOGY; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
3462	J COMPUT CHEM	JOURNAL OF COMPUTATIONAL CHEMISTRY	0192-8651	CHEMISTRY, MULTIDISCIPLINARY
3463	J COMPUT CIVIL ENG	JOURNAL OF COMPUTING IN CIVIL ENGINEERING	0887-3801	ENGINEERING, CIVIL; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
3464	J COMPUT ELECTRON	JOURNAL OF COMPUTATIONAL ELECTRONICS	1569-8025	ENGINEERING, ELECTRICAL & ELECTRONIC
3465	J COMPUT GRAPH STAT	JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	1061-8600	STATISTICS & PROBABILITY
3466	J COMPUT MATH	JOURNAL OF COMPUTATIONAL MATHEMATICS	0254-9409	MATHEMATICS, APPLIED; MATHEMATICS
3467	J COMPUT NEUROSCI	JOURNAL OF COMPUTATIONAL NEUROSCIENCE	0929-5313	NEUROSCIENCES; MATHEMATICAL & COMPUTATIONAL BIOLOGY
3468	J COMPUT NONLIN DYN	JOURNAL OF COMPUTATIONAL AND NONLINEAR DYNAMICS	1555-1423	ENGINEERING, MECHANICAL; MECHANICS
3469	J COMPUT PHYS	JOURNAL OF COMPUTATIONAL PHYSICS	0021-9991	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS; PHYSICS, MATHEMATICAL
3470	J COMPUT SCI-NETH	JOURNAL OF COMPUTATIONAL SCIENCE	1877-7503	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS
3471	J COMPUT SYST SCI	JOURNAL OF COMPUTER AND SYSTEM SCIENCES	0022-0000	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, HARDWARE & ARCHITECTURE
3472	J COMPUT THEOR NANOS	JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE	1546-1955	PHYSICS, CONDENSED MATTER; CHEMISTRY, MULTIDISCIPLINARY
3473	J CONCHOL	JOURNAL OF CONCHOLOGY	0022-0019	ZOOLOGY; MARINE & FRESHWATER BIOLOGY
3474	J CONSTR ENG M	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT	0733-9364	CONSTRUCTION & BUILDING TECHNOLOGY; ENGINEERING, CIVIL; ENGINEERING, INDUSTRIAL
3475	J CONSTR STEEL RES	JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH	0143-974X	CONSTRUCTION & BUILDING TECHNOLOGY; ENGINEERING, CIVIL
3476	J CONTAM HYDROL	JOURNAL OF CONTAMINANT HYDROLOGY	0169-7722	GEOSCIENCES, MULTIDISCIPLINARY; ENVIRONMENTAL SCIENCES; WATER RESOURCES
3477	J CONTIN EDUC HEALTH	JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS	0894-1912	EDUCATION, SCIENTIFIC DISCIPLINES
3478	J CONTROL RELEASE	JOURNAL OF CONTROLLED RELEASE	0168-3659	PHARMACOLOGY & PHARMACY; CHEMISTRY, MULTIDISCIPLINARY
3479	J CONVEX ANAL	JOURNAL OF CONVEX ANALYSIS	0944-6532	MATHEMATICS
3480	J COORD CHEM	JOURNAL OF COORDINATION CHEMISTRY	0095-8972	CHEMISTRY, INORGANIC & NUCLEAR
3481	J COSMET LASER THER	JOURNAL OF COSMETIC AND LASER THERAPY	1476-4172	SURGERY
3482	J COSMOL ASTROPART P	JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS	1475-7516	PHYSICS, PARTICLES & FIELDS; ASTRONOMY & ASTROPHYSICS
3483	J CRANIO MAXILL SURG	JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY	1010-5182	SURGERY ; DENTISTRY, ORAL SURGERY & MEDICINE
3484	J CRANIOFAC SURG	JOURNAL OF CRANIOFACIAL SURGERY	1049-2275	SURGERY
3485	J CRIT CARE	JOURNAL OF CRITICAL CARE	0883-9441	CRITICAL CARE MEDICINE
3486	J CROHNS COLITIS	JOURNAL OF CROHNS & COLITIS	1873-9946	GASTROENTEROLOGY & HEPATOLOGY
3487	J CRUSTACEAN BIOL	JOURNAL OF CRUSTACEAN BIOLOGY	0278-0372	MARINE & FRESHWATER BIOLOGY
3488	J CRYPTOL	JOURNAL OF CRYPTOLOGY	0933-2790	COMPUTER SCIENCE, THEORY & METHODS; MATHEMATICS, APPLIED; ENGINEERING, ELECTRICAL & ELECTRONIC
3489	J CRYST GROWTH	JOURNAL OF CRYSTAL GROWTH	0022-0248	CRYSTALLOGRAPHY; MATERIALS SCIENCE, MULTIDISCIPLINARY; PHYSICS, APPLIED
3490	J CULT HERIT	JOURNAL OF CULTURAL HERITAGE	1296-2074	GEOSCIENCES, MULTIDISCIPLINARY; CHEMISTRY, ANALYTICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY; SPECTROSCOPY
3491	J CUTAN PATHOL	JOURNAL OF CUTANEOUS PATHOLOGY	0303-6987	PATHOLOGY; DERMATOLOGY
3492	J CYST FIBROS	JOURNAL OF CYSTIC FIBROSIS	1569-1993	RESPIRATORY SYSTEM
3493	J DAIRY RES	JOURNAL OF DAIRY RESEARCH	0022-0299	AGRICULTURE, DAIRY & ANIMAL SCIENCE; FOOD SCIENCE & TECHNOLOGY
3494	J DAIRY SCI	JOURNAL OF DAIRY SCIENCE	0022-0302	FOOD SCIENCE & TECHNOLOGY; AGRICULTURE, DAIRY & ANIMAL SCIENCE
3495	J DENT	JOURNAL OF DENTISTRY	0300-5712	DENTISTRY, ORAL SURGERY & MEDICINE
3496	J DENT RES	JOURNAL OF DENTAL RESEARCH	0022-0345	DENTISTRY, ORAL SURGERY & MEDICINE
3497	J DERMATOL	JOURNAL OF DERMATOLOGY	0385-2407	DERMATOLOGY
3498	J DERMATOL SCI	JOURNAL OF DERMATOLOGICAL SCIENCE	0923-1811	DERMATOLOGY
3499	J DERMATOL TREAT	JOURNAL OF DERMATOLOGICAL TREATMENT	0954-6634	DERMATOLOGY
3500	J DEV BEHAV PEDIATR	JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS	0196-206X	PEDIATRICS; BEHAVIORAL SCIENCES
3501	J DEV ORIG HLTH DIS	JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE	2040-1744	PUBLIC, ENVIRONMENTAL & OCC
3502	J DIABETES	JOURNAL OF DIABETES	1753-0393	ENDOCRINOLOGY & METABOLISM
3503	J DIABETES COMPLICAT	JOURNAL OF DIABETES AND ITS COMPLICATIONS	1056-8727	ENDOCRINOLOGY & METABOLISM
3504	J DIABETES INVEST	JOURNAL OF DIABETES INVESTIGATION	2040-1116	ENDOCRINOLOGY & METABOLISM
3505	J DIABETES RES	JOURNAL OF DIABETES RESEARCH	2314-6745	MEDICINE, RESEARCH & EXPERIMENTAL; ENDOCRINOLOGY & METABOLISM
3506	J DIFFER EQU APPL	JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS	1023-6198	MATHEMATICS, APPLIED
3507	J DIFFER EQUATIONS	JOURNAL OF DIFFERENTIAL EQUATIONS	0022-0396	MATHEMATICS
3508	J DIFFER GEOM	JOURNAL OF DIFFERENTIAL GEOMETRY	0022-040X	MATHEMATICS
3509	J DIGIT IMAGING	JOURNAL OF DIGITAL IMAGING	0897-1889	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
3510	J DISP TECHNOL	JOURNAL OF DISPLAY TECHNOLOGY	1551-319X	ENGINEERING, ELECTRICAL & ELECTRONIC; OPTICS; PHYSICS, APPLIED
3511	J DISPER SCI TECHNOL	JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY	0193-2691	CHEMISTRY, PHYSICAL
3512	J DRUG DELIV SCI TEC	JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	1773-2247	PHARMACOLOGY & PHARMACY
3513	J DRUG TARGET	JOURNAL OF DRUG TARGETING	1061-186X	PHARMACOLOGY & PHARMACY
