Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
AFRICAN JOURNAL OF MARINE SCIENCE,1814-232X,24.94,717.47
African Journal of Library Archives and Information Science,0795-4778,1.73,500.27
AFRICAN JOURNAL OF HERPETOLOGY,2156-4574,16.34,575.57
AFRICAN JOURNAL OF ECOLOGY,0141-6707,7.2,509.72
AFRICAN JOURNAL OF AQUATIC SCIENCE,1608-5914,8.99,516.97
AFRICAN INVERTEBRATES,1681-5556,12.11,535.71
African Health Sciences,1680-6905,4.37,502.79
AFRICAN ENTOMOLOGY,1021-3589,12.87,541.6
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,1017-6772,0.21,500
African and Asian Studies,1569-2094,14.41,555.18
AFRICAN AFFAIRS,0001-9909,100,7500
AFINIDAD,0001-9704,0.67,500.03
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,0886-1099,19.16,612.45
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,10.24,523.47
Aesthetic Surgery Journal,1090-820X,35.36,1020.4
AESTHETIC PLASTIC SURGERY,0364-216X,25.47,729.13
AEROSPACE AMERICA,0740-722X,0,500
AEROSPACE SCIENCE AND TECHNOLOGY,1270-9638,53.23,1947.12
AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,84.05,5032.96
Aerosol and Air Quality Research,1680-8584,24.18,701.25
AERONAUTICAL JOURNAL,0001-9240,24.46,707.16
AEROBIOLOGIA,0393-5965,17.67,591.87
Aequationes Mathematicae,0001-9054,12.48,538.49
Aeolian Research,1875-9637,52.05,1868.49
ADVANCES IN WATER RESOURCES,0309-1708,100,7500
Advances in Virus Research,0065-3527,47.92,1612.72
Advances in Vibration Engineering,0972-5768,3.66,501.8
ADVANCES IN THERAPY,0741-238X,19.47,617.15
Advances in Theoretical and Mathematical Physics,1095-0761,59.03,2374.28
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,100,7500
Advances in the Study of Behavior,0065-3454,46.03,1506.26
ADVANCES IN STRUCTURAL ENGINEERING,1369-4332,21.56,651.01
Advances in Strategic Management-A Research Annual,0742-3322,15.26,563.7
Advanced Steel Construction,1816-112X,34.42,986.54
ADVANCES IN SPACE RESEARCH,0273-1177,19.65,619.78
Advances in Skin & Wound Care,1527-7941,59.55,2415.77
ADVANCED ROBOTICS,0169-1864,9.37,518.83
Advances in Quantum Chemistry,0065-3276,12.49,538.57
Advances in Protein Chemistry and Structural Biology,1876-1623,23.66,690.65
ADVANCED POWDER TECHNOLOGY,0921-8831,30.04,846.15
ADVANCES IN POLYMER TECHNOLOGY,0730-6679,14.58,556.83
Advances in Polymer Science,0065-3195,45.11,1456.92
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,19.7,620.58
Advances in Physical Organic Chemistry,0065-3160,53.45,1962.07
ADVANCES IN PHYSICS,0001-8732,100,7500
Advances in Parasitology,0065-308X,81.89,4748.47
Advances in Organometallic Chemistry,0065-3055,100,7500
Advances in Optics and Photonics,1943-8206,100,7500
Advanced Optical Materials,2195-1071,44.87,1444.03
Advances in Nutrition,2161-8313,92.8,6306.52
ADVANCES IN NURSING SCIENCE,0161-9268,49.25,1691.78
ADVANCED NONLINEAR STUDIES,1536-1365,30.49,859.26
Advances in Nonlinear Analysis,2191-9496,47.75,1602.81
Advances in Neonatal Care,1536-0903,45.15,1458.79
Advances in Microbial Physiology,0065-2911,55.32,2093.48
Advances in Meteorology,1687-9309,16.24,574.34
Advances in Medical Sciences,1896-1126,7.68,511.43
Advances in Mechanical Engineering,1687-8132,13.08,543.29
Advances in Mathematical Physics,1687-9120,8.8,516.07
Advances in Mathematics of Communications,1930-5346,42.22,1310.93
ADVANCES IN MATHEMATICS,0001-8708,89.93,5868.62
Advances in Materials Science and Engineering,1687-8434,4.4,502.84
ADVANCED MATERIALS & PROCESSES,0882-7958,1.71,500.27
Advanced Materials Interfaces,2196-7350,0.51,500.01
ADVANCED MATERIALS,0935-9648,100,7500
Advances in Marine Biology,0065-2881,100,7500
Advances in Life Course Research,1569-4909,66.8,3053.31
Advances in Insect Physiology,0065-2806,92.21,6215.35
Advances in Inorganic Chemistry,0898-8838,61.08,2541.33
Advances in Immunology,0065-2776,69.75,3344.64
Advances in Imaging and Electron Physics,1076-5670,4.52,503.05
Advances in High Energy Physics,1687-7357,35.41,1022.2
Advances in Heterocyclic Chemistry,0065-2725,20.44,632.27
Advanced Healthcare Materials,2192-2640,100,7500
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,80.8,4607.89
Advances in Geophysics,0065-2687,100,7500
ADVANCES IN GEOMETRY,1615-715X,24.9,716.64
Advances in Genetics,0065-2660,39.32,1178.67
ADVANCED FUNCTIONAL MATERIALS,1616-301X,71.82,3559.96
Advances in Experimental Social Psychology,0065-2601,100,7500
Advances in Experimental Medicine and Biology,0065-2598,16.46,576.96
ADVANCES IN ENGINEERING SOFTWARE,0965-9978,47.22,1572.36
ADVANCED ENGINEERING MATERIALS,1438-1656,12.76,540.75
ADVANCED ENGINEERING INFORMATICS,1474-0346,60.56,2497.57
Advanced Energy Materials,1614-6832,100,7500
Advances in Electrical and Computer Engineering,1582-7445,4.59,503.16
Advances in Ecological Research,0065-2504,59.39,2402.63
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,100,7500
Advances in Differential Equations,1079-9389,48.08,1621.86
Advances in Difference Equations,1687-1847,5.81,505.69
Advances in Data Analysis and Classification,1862-5347,21.25,645.76
Advances in Condensed Matter Physics,1687-8108,4.99,503.9
ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,50.8,1787.36
Advances in Computers,0065-2458,21.5,650.1
ADVANCED COMPOSITE MATERIALS,0924-3046,19.04,610.66
ADVANCED COMPOSITES LETTERS,0963-6935,9,516.99
ADVANCES IN COMPLEX SYSTEMS,0219-5259,12.78,540.89
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,59.07,2376.96
Advances in Cognitive Psychology,1895-1171,23.16,680.66
Advances in Clinical and Experimental Medicine,1899-5276,2.5,500.69
Advances in Clinical Chemistry,0065-2423,48.06,1621.05
ADVANCES IN CHRONIC KIDNEY DISEASE,1548-5595,42.63,1330.5
Advances in Chromatography,0065-2415,13.93,550.73
Advances in Child Development and Behavior,0065-2407,31.61,893.24
Advances in Chemical Physics,0065-2385,44.94,1447.85
ADVANCES IN CEMENT RESEARCH,0951-7197,21.84,655.98
Advances in Catalysis,0360-0564,68.91,3259.44
Advances in Carbohydrate Chemistry and Biochemistry,0065-2318,72.5,3633.15
Advances in Cancer Research,0065-230X,32.83,932.45
Advances in Calculus of Variations,1864-8258,69.61,3329.53
Advances in Botanical Research,0065-2296,28.87,813.53
Advances in Biochemical Engineering-Biotechnology,0724-6145,14.57,556.76
Advances In Atomic Molecular and Optical Physics,1049-250X,100,7500
ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,19.8,622.17
Advances in Astronomy,1687-7969,7.52,510.84
ADVANCES IN APPLIED PROBABILITY,0001-8678,23.2,681.38
Advances in Applied Microbiology,0065-2164,39.55,1188.42
Advances in Applied Mechanics,0065-2156,100,7500
Advances in Applied Mathematics and Mechanics,2070-0733,15.16,562.63
ADVANCES IN APPLIED MATHEMATICS,0196-8858,39.59,1190.22
Advances in Applied Clifford Algebras,0188-7009,4.6,503.17
Advances in Applied Ceramics,1743-6753,25.95,740.02
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,42.38,1318.29
Advances in Anatomy Embryology and Cell Biology,0301-5556,100,7500
Advances in Agronomy,0065-2113,100,7500
ADULT EDUCATION QUARTERLY,0741-7136,20.7,636.46
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,24.97,718.07
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,9.83,521.21
ADMINISTRATION IN SOCIAL WORK,0364-3107,17.96,595.65
ADMINISTRATION & SOCIETY,0095-3997,33.9,968.5
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,100,7500
ADMINISTRATIVE LAW REVIEW,0001-8368,44.25,1411.75
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,57.54,2258.11
Adicciones,0214-4840,13.38,545.82
ADDICTION,0965-2140,100,7500
ADDICTION RESEARCH & THEORY,1606-6359,36.41,1059.9
ADDICTION BIOLOGY,1355-6215,100,7500
ADDICTIVE BEHAVIORS,0306-4603,77.95,4255.5
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,36.63,1068.55
ADAPTIVE BEHAVIOR,1059-7123,31.63,893.89
ADANSONIA,1280-8571,4.55,503.1
Ad Hoc & Sensor Wireless Networks,1551-9899,9.82,521.17
Ad Hoc Networks,1570-8705,41.89,1295.18
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,1.98,500.39
Acupuncture in Medicine,0964-5284,4.61,503.19
Action Research,1476-7503,18.62,604.67
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322,15.98,571.46
Actas Urologicas Espanolas,0210-4806,6.78,508.39
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,7.79,511.87
ACTA ZOOLOGICA,0001-7272,32.68,927.51
ACTA ZOOLOGICA BULGARICA,0324-0770,5.5,504.97
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837,12.28,536.97
ACTA VIROLOGICA,0001-723X,6.75,508.28
ACTA VETERINARIA-BEOGRAD,0567-8315,7.51,510.82
ACTA VETERINARIA SCANDINAVICA,0044-605X,73.2,3708.59
ACTA VETERINARIA HUNGARICA,0236-6290,33.28,947.4
ACTA VETERINARIA BRNO,0001-7213,18.41,601.79
ACTA TROPICA,0001-706X,35.64,1030.66
ACTA THERIOLOGICA,0001-7051,27.35,773.83
ACTA SOCIOLOGICA,0001-6993,36.41,1059.89
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,7.04,509.21
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,0.89,500.05
ACTA SCIENTIARUM-AGRONOMY,1807-8621,20.3,629.97
Acta Scientiae Veterinariae,1678-0345,12.22,536.57
Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,13,542.65
Acta Reumatologica Portuguesa,0303-464X,3.05,501.14
ACTA RADIOLOGICA,0284-1851,31.95,903.88
ACTA PSYCHOLOGICA,0001-6918,25.97,740.52
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,58.94,2366.59
ACTA PROTOZOOLOGICA,0065-1583,7.72,511.59
ACTA POLYMERICA SINICA,1000-3304,1.52,500.2
Acta Politica,0001-6810,37.34,1096.33
ACTA POLONIAE PHARMACEUTICA,0001-6837,4.99,503.89
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,12.45,538.29
ACTA PHYSIOLOGICA HUNGARICA,0231-424X,6.6,507.83
Acta Physiologica,1748-1708,34.42,986.61
ACTA PHYSICO-CHIMICA SINICA,1000-6818,0.85,500.05
ACTA PHYSICA SLOVACA,0323-0465,11.33,530.23
ACTA PHYSICA SINICA,1000-3290,0.4,500.01
ACTA PHYSICA POLONICA B,0587-4254,2.48,500.68
ACTA PHYSICA POLONICA A,0587-4246,0.97,500.07
ACTA PHARMACOLOGICA SINICA,1671-4083,21.8,655.27
ACTA PHARMACEUTICA,1330-0075,9.26,518.26
ACTA PETROLOGICA SINICA,1000-0569,17.63,591.38
Acta Paulista de Enfermagem,0103-2100,11.49,531.34
ACTA PARASITOLOGICA,1230-2821,11.04,528.36
ACTA PALAEONTOLOGICA POLONICA,0567-7920,59.04,2374.99
ACTA PAEDIATRICA,0803-5253,43.55,1376.26
Acta Otorhinolaryngologica Italica,0392-100X,35.3,1018.26
ACTA OTO-LARYNGOLOGICA,0001-6489,33.93,969.43
Acta Ortopedica Brasileira,1413-7852,0,500
Acta Orthopaedica et Traumatologica Turcica,1017-995X,14.64,557.4
Acta Orthopaedica Belgica,0001-6462,16.89,582.02
Acta Orthopaedica,1745-3674,71.57,3533.63
ACTA ORNITHOLOGICA,0001-6454,36.75,1073.06
ACTA OPHTHALMOLOGICA,1755-375X,39.51,1186.8
ACTA ONCOLOGICA,0284-186X,15.67,568.04
ACTA OECONOMICA,0001-6373,2.87,500.97
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,18.13,597.95
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,36.41,1059.94
ACTA OCEANOLOGICA SINICA,0253-505X,6.96,508.94
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,46.94,1556.88
ACTA NUMERICA,0962-4929,100,7500
ACTA NEUROPSYCHIATRICA,1601-5215,6.93,508.85
ACTA NEUROPATHOLOGICA,0001-6322,100,7500
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,26.43,751.33
ACTA NEUROLOGICA BELGICA,0300-9009,7.5,510.79
ACTA NEUROCHIRURGICA,0001-6268,37.62,1107.61
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,8.66,515.45
Acta Naturae,2075-8251,3.22,501.3
Acta Montanistica Slovaca,1335-1788,4.22,502.55
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,2.84,500.95
Acta Meteorologica Sinica,0894-0525,10.43,524.6
Acta Metallurgica Sinica-English Letters,1006-7191,17.05,583.99
ACTA METALLURGICA SINICA,0412-1961,12.89,541.72
Acta Medica Portuguesa,1646-0758,1.43,500.17
Acta Medica Mediterranea,0393-6384,0.07,500
ACTA MEDICA OKAYAMA,0386-300X,5.18,504.27
ACTA MECHANICA SOLIDA SINICA,0894-9166,18.72,606.18
ACTA MECHANICA SINICA,0567-7718,30.34,854.93
ACTA MECHANICA,0001-5970,24.63,710.7
ACTA MATHEMATICA,0001-5962,100,7500
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,14.21,553.3
ACTA MATHEMATICA SCIENTIA,0252-9602,11.54,531.68
ACTA MATHEMATICA HUNGARICA,0236-5294,11.85,533.85
Acta Mathematicae Applicatae Sinica-English Series,0168-9673,9.15,517.71
ACTA MATERIALIA,1359-6454,100,7500
ACTA INFORMATICA,0001-5903,15.29,564.03
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,16.93,582.61
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,3.23,501.31
ACTA HISTOCHEMICA,0065-1281,4.78,503.49
Acta Herpetologica,1827-9635,13.12,543.68
ACTA HAEMATOLOGICA,0001-5792,12.63,539.7
Acta Geotechnica Slovenica,1854-0171,8.92,516.64
Acta Geotechnica,1861-1125,60.88,2524.54
Acta Geophysica,1895-6572,10.62,525.73
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,13.99,551.27
ACTA GEOLOGICA POLONICA,0001-5709,15.87,570.22
Acta Geographica Slovenica-Geografski Zbornik,1581-6613,9.78,520.92
Acta Geodynamica et Geomaterialia,1214-9705,18.24,599.4
Acta Geodaetica et Geophysica,2213-5812,2.14,500.47
ACTA GASTRO-ENTEROLOGICA BELGICA,0001-5644,6.88,508.68
ACTA ETHOLOGICA,0873-9749,28.37,799.98
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,14.82,559.17
Acta Endocrinologica-Bucharest,1841-0987,0.36,500.01
ACTA DIABETOLOGICA,0940-5429,19.25,613.83
Acta Dermatovenerologica Croatica,1330-027X,8.92,516.64
ACTA DERMATO-VENEREOLOGICA,0001-5555,80.44,4562.13
Acta Crystallographica Section F-Structural Biology Communications,1744-3091,8.79,516.05
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,1399-0047,100,7500
Acta Crystallographica Section C-Structural Chemistry,0108-2701,2.47,500.67
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,0108-7681,40.75,1241.89
Acta Crystallographica A-Foundation and Advances,0108-7673,52.41,1892.23
Acta Clinica Croatica,0353-9466,1.35,500.15
ACTA CLINICA BELGICA,1784-3286,2.34,500.58
Acta Cirurgica Brasileira,0102-8650,11.55,531.74
ACTA CHROMATOGRAPHICA,1233-2356,5.21,504.33
ACTA CHIROPTEROLOGICA,1508-1109,27.01,765.43
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0001-5415,4.11,502.39
ACTA CHIRURGICA BELGICA,0001-5458,8.16,513.31
ACTA CHIMICA SLOVENICA,1318-0207,3.46,501.55
ACTA CHIMICA SINICA,0567-7351,2.55,500.73
ACTA CARSOLOGICA,0583-6050,10.72,526.37
Acta Cardiologica Sinica,1011-6842,1.05,500.08
ACTA CARDIOLOGICA,0001-5385,6.72,508.19
Acta Botanica Mexicana,0187-7151,3.97,502.2
ACTA BOTANICA GALLICA,1253-8078,2.61,500.77
ACTA BOTANICA CROATICA,0365-0588,8.21,513.52
Acta Botanica Brasilica,0102-3306,7.04,509.21
ACTA BIOTHEORETICA,0001-5342,6.97,508.97
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1.33,500.14
Acta Biomaterialia,1742-7061,89.76,5843.41
ACTA BIOLOGICA HUNGARICA,0236-5383,3.38,501.48
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,8.13,513.2
Acta Bioethica,1726-569X,2.1,500.45
Acta of Bioengineering and Biomechanics,1509-409X,6.52,507.61
ACTA BIOCHIMICA POLONICA,0001-527X,5.98,506.13
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,15.54,566.65
ACTA ASTRONOMICA,0001-5237,16.93,582.5
ACTA ASTRONAUTICA,0094-5765,42.15,1307.59
ACTA ARITHMETICA,0065-1036,23.35,684.5
ACTA APPLICANDAE MATHEMATICAE,0167-8019,22.89,675.46
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,32.78,930.73
ACTA ALIMENTARIA,0139-3006,5.65,505.3
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,18.18,598.67
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,23.43,686.11
ACTA ADRIATICA,0001-5113,9.15,517.72
ACTA ACUSTICA UNITED WITH ACUSTICA,1610-1928,10.17,523.08
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,0.9,500.05
ACS Synthetic Biology,2161-5063,68.98,3266.09
ACS Sustainable Chemistry & Engineering,2168-0485,54.76,2053.02
ACS Photonics,2330-4022,1.33,500.14
ACS Nano,1936-0851,91.61,6123.28
ACS Medicinal Chemistry Letters,1948-5875,61.21,2551.63
ACS Macro Letters,2161-1653,81.01,4635.05
ACS Combinatorial Science,2156-8952,51.15,1809.95
ACS Chemical Neuroscience,1948-7193,96.32,6873.1
ACS Chemical Biology,1554-8929,40.59,1234.61
ACS Catalysis,2155-5435,47.52,1589.52
ACS Applied Materials & Interfaces,1944-8244,31.59,892.62
ACOUSTICAL PHYSICS,1063-7710,4.84,503.61
Acoustics Australia,0814-6039,4.66,503.27
ACM Transactions on the Web,1559-1131,88.55,5664.31
ACM Transactions on Storage,1553-3077,23.89,695.34
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,71.19,3493.02
ACM Transactions on Sensor Networks,1550-4859,58.4,2324.63
ACM Transactions on Reconfigurable Technology and Systems,1936-7406,17.92,595.19
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,97.75,7113.08
ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,42.23,1311.47
ACM Transactions on Modeling and Computer Simulation,1049-3301,43.88,1393.04
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,100,7500
ACM Transactions on Knowledge Discovery from Data,1556-4681,99.65,7438.67
ACM Transactions on Internet Technology,1533-5399,57.2,2232.39
ACM Transactions on Intelligent Systems and Technology,2157-6904,100,7500
ACM Transactions on Information and System Security,1094-9224,50.53,1770.36
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,37.5,1102.65
ACM TRANSACTIONS ON GRAPHICS,0730-0301,100,7500
ACM Transactions on Embedded Computing Systems,1539-9087,20.38,631.24
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,24.31,704.07
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,60.01,2453.13
ACM Transactions on Computer-Human Interaction,1073-0516,32.67,927.03
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,33.95,970.25
ACM Transactions on Computational Logic,1529-3785,37.9,1118.89
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,25.19,722.9
ACM Transactions on Architecture and Code Optimization,1544-3566,9.66,520.3
ACM Transactions on Applied Perception,1544-3558,40.9,1248.85
ACM Transactions on Algorithms,1549-6325,46.99,1559.41
ACM SIGPLAN NOTICES,0362-1340,36.12,1048.9
ACM SIGCOMM Computer Communication Review,0146-4833,84.49,5093.8
ACM Journal on Emerging Technologies in Computing Systems,1550-4832,21.3,646.62
ACM COMPUTING SURVEYS,0360-0300,100,7500
ACI STRUCTURAL JOURNAL,0889-3241,58.11,2301.63
ACI MATERIALS JOURNAL,0889-325X,49.86,1728.76
ACCREDITATION AND QUALITY ASSURANCE,0949-1775,17.21,586.06
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,100,7500
ACCOUNTING REVIEW,0001-4826,46.34,1523.46
Accountability in Research-Policies and Quality Assurance,0898-9621,26.74,758.83
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,37.11,1087.38
Accounting Horizons,0888-7993,17.26,586.58
Accounting and Finance,0810-5391,6.49,507.52
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,10.57,525.44
Accounting Auditing & Accountability Journal,0951-3574,15.22,563.21
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,73.97,3793.91
ACAROLOGIA,0044-586X,26.63,756.17
Academia-Revista Latinoamericana de Administracion,1012-8255,2.8,500.92
ACADEMIC RADIOLOGY,1076-6332,38.29,1135.18
ACADEMIC PSYCHIATRY,1042-9670,18.13,597.97
Academic Pediatrics,1876-2859,66.12,2988.31
ACADEMIC MEDICINE,1040-2446,97.22,7022.97
ACADEMY OF MANAGEMENT REVIEW,0363-7425,100,7500
Academy of Management Perspectives,1558-9080,88,5584.55
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,100,7500
Academy of Management Learning & Education,1537-260X,85.94,5292.58
Academy of Management Annals,1941-6520,100,7500
ACADEMIC EMERGENCY MEDICINE,1069-6563,59.8,2435.93
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,25.21,723.44
ABDOMINAL IMAGING,0942-8925,27.62,780.75
Abacus-A Journal of Accounting Finance and Business Studies,0001-3072,7.97,512.55
AATCC REVIEW,1532-8813,6.39,507.22
AAPS PHARMSCITECH,1530-9932,15.31,564.16
AAPS Journal,1550-7416,39.8,1199.61
AAPG BULLETIN,0149-1423,49.48,1705.29
4OR-A Quarterly Journal of Operations Research,1619-4500,23.93,696.18
JOURNAL OF SPACECRAFT AND ROCKETS,0022-4650,33.85,966.52
Journal of Spatial Science,1449-8596,18.56,603.89
JOURNAL OF SPECIAL EDUCATION,0022-4669,58.96,2368.33
Journal for Specialists in Pediatric Nursing,1539-0136,56.72,2195.78
Journal of Spectral Theory,1664-039X,59.43,2405.77
Journal of Spectroscopy,2314-4920,5.06,504.04
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1092-4388,91.15,6052.3
JOURNAL OF SPINAL CORD MEDICINE,1079-0268,19.22,613.42
JOURNAL OF SPINAL DISORDERS & TECHNIQUES,1536-0652,54.22,2015.4
Journal of Sports Economics,1527-0025,54.69,2048.31
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779,100,7500
Journal of Sport and Health Science,2095-2546,67.64,3133.5
JOURNAL OF SPORT MANAGEMENT,0888-4773,33.82,965.54
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,0022-4707,26.31,748.45
JOURNAL OF SPORT REHABILITATION,1056-6716,48.2,1628.83
JOURNAL OF SPORTS SCIENCES,0264-0414,60.99,2533.58
Journal of Sports Science and Medicine,1303-2968,27.93,788.53
JOURNAL OF SPORT & SOCIAL ISSUES,0193-7235,56.54,2182.55
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0094-9655,19.87,623.14
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,1742-5468,51.58,1837.41
JOURNAL OF STATISTICAL PHYSICS,0022-4715,46.88,1553.17
JOURNAL OF STATISTICAL PLANNING AND INFERENCE,0378-3758,16.73,580.13
Journal of Statistical Software,1548-7660,100,7500
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,0960-0760,28.8,811.65
JOURNAL OF STORED PRODUCTS RESEARCH,0022-474X,26.16,745.11
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,0309-3247,60.63,2503.28
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,0963-8687,56.61,2188.18
JOURNAL OF STRATEGIC STUDIES,0140-2390,23.5,687.47
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,1064-8011,37.84,1116.47
Journal of Stroke & Cerebrovascular Diseases,1052-3057,23.67,690.9
JOURNAL OF STRUCTURAL BIOLOGY,1047-8477,42.89,1343.43
JOURNAL OF STRUCTURAL CHEMISTRY,0022-4766,6.4,507.26
JOURNAL OF STRUCTURAL ENGINEERING,0733-9445,77.79,4235.79
JOURNAL OF STRUCTURAL GEOLOGY,0191-8141,42.48,1323.31
Journal of Studies on Alcohol and Drugs,1937-1888,76.8,4117.8
Journal of Studies in International Education,1028-3153,38.69,1151.63
JOURNAL OF SUBSTANCE ABUSE TREATMENT,0740-5472,64.99,2883.28
Journal of Substance Use,1465-9891,17.42,588.7
Journal of Sulfur Chemistry,1741-5993,3.95,502.18
JOURNAL OF SUPERCOMPUTING,0920-8542,13.6,547.73
Journal of Superconductivity and Novel Magnetism,1557-1939,3.89,502.09
JOURNAL OF SUPERCRITICAL FLUIDS,0896-8446,34.54,990.91
Journal of Superhard Materials,1063-4576,4.15,502.45
Journal of Supply Chain Management,1523-2409,58.46,2329.38
JOURNAL OF SURFACTANTS AND DETERGENTS,1097-3958,20.35,630.82
Journal of Surgical Education,1931-7204,43.54,1375.64
JOURNAL OF SURGICAL ONCOLOGY,0022-4790,62.7,2678.93
JOURNAL OF SURGICAL RESEARCH,0022-4804,42.78,1337.74
JOURNAL OF SURVEYING ENGINEERING,0733-9453,34.02,972.56
JOURNAL OF SUSTAINABLE AGRICULTURE,1044-0046,28.61,806.46
Journal of Sustainable Tourism,0966-9582,90.09,5892.86
JOURNAL OF SWINE HEALTH AND PRODUCTION,1537-209X,41.09,1257.59
JOURNAL OF SYMBOLIC COMPUTATION,0747-7171,38.66,1150.67
JOURNAL OF SYMBOLIC LOGIC,0022-4812,33.58,957.36
Journal of Symplectic Geometry,1527-5256,51.32,1820.53
JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,0037-9980,6.49,507.51
JOURNAL OF SYNCHROTRON RADIATION,0909-0495,100,7500
JOURNAL OF SYSTEMS ARCHITECTURE,1383-7621,20.73,636.97
Journal of Systems Engineering and Electronics,1004-4132,7.65,511.33
Journal of Systematics and Evolution,1674-4918,20.39,631.4
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,1477-2019,100,7500
Journal of Systems Science & Complexity,1009-6124,8.88,516.43
Journal of Systems Science and Systems Engineering,1004-3756,7.08,509.34
JOURNAL OF SYSTEMS AND SOFTWARE,0164-1212,35.28,1017.42
